movieId,title,corpus
1,Toy Story (1995),toy rivalry cowboy cgianimation adventure animation children comedy fantasy 1995 
2,Jumanji (1995),boardgame adventurer fight game adventure children fantasy 1995 
3,Grumpier Old Men (1995),boat lake neighbor rivalry comedy romance 1995 
4,Waiting to Exhale (1995),blackamerican husbandwiferelationship betrayal mothersonrelationship comedy drama romance 1995 
5,Father of the Bride Part II (1995),fatherhood doberman dog mansion comedy 1995 
6,Heat (1995),gunbattle organizedcrime honor criminalinvestigation action crime thriller 1995 
7,Sabrina (1995),characternameastitle chauffeur estate playboy comedy romance 1995 
8,Tom and Huck (1995),rescuefromdrowning neardrowning characternamesastitle forenamesastitle adventure children 1995 
9,Sudden Death (1995),hockey deathintitle twowordtitle terrorist action 1995 
10,GoldenEye (1995),officialjamesbondseries jamesbondcharacter 007 chemicalweapons action adventure thriller 1995 
11,"American President, The (1995)",referencetofranklind.roosevelt referencetomartinvanburen president speechwriter comedy drama romance 1995 
12,Dracula: Dead and Loving It (1995),dracula vampire 19thcentury insaneasylum comedy horror 1995 
13,Balto (1995),dog nomealaska alaska children adventure animation children 1995 
14,Nixon (1995),americanpresident americanpolitics paranoia u.s.president drama 1995 
15,Cutthroat Island (1995),treasure pirate treasuremap pirateship action adventure romance 1995 
16,Casino (1995),crimeepic casino gambling gangster crime drama 1995 
17,Sense and Sensibility (1995),england 19thcentury basedonnovel blackhair drama romance 1995 
18,Four Rooms (1995),woman gaggedwoman tiedtoachair weapon comedy 1995 
19,Ace Ventura: When Nature Calls (1995),maleobjectification kidnapping caughtmasturbating fictionalcountry comedy 1995 
20,Money Train (1995),train subway loanshark newyear'seve action comedy crime drama thriller 1995 
21,Get Shorty (1995),moviebusiness loanshark debt mobster comedy crime thriller 1995 
22,Copycat (1995),serialkiller psychopath deadbodyinabathtub detective crime drama horror mystery thriller 1995 
23,Assassins (1995),assassin rival assassination computerhacker action crime thriller 1995 
24,Powder (1995),albino electricity loneliness bully drama sci-fi 1995 
25,Leaving Las Vegas (1995),prostitute alcoholism alcoholic fallinginlovewithaprostitute drama romance 1995 
26,Othello (1995),italy blackmanwhitewomanmarriage blackmanwhitewomansex blackmanwhitewomankiss drama 1995 
27,Now and Then (1995),1970s year1991 1990s year1970 children drama 1995 
28,Persuasion (1995),captain accident napoleonicwars marriage drama romance 1995 
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",psychotronicfilm underwaterscene children dream adventure drama fantasy mystery sci-fi 1995 
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),nan crime drama 1995 
31,Dangerous Minds (1995),teacherstudentrelationship exmarine pregnancy highschoolprincipal drama 1995 
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),timetravel virus mentalinstitution underground mystery sci-fi thriller 1995 
33,Wings of Courage (1995),airmail periodpiece 3dimensional adventure romance imax 1995 
34,Babe (1995),farmer pig sheep farm children drama 1995 
35,Carrington (1995),writer gay rape frated drama romance 1995 
36,Dead Man Walking (1995),nun solitaryconfinement execution capitalpunishment crime drama 1995 
37,Across the Sea of Time (1995),donaldtrump immigrant 11yearold brooklynnewyorkcity documentary imax 1995 
38,It Takes Two (1995),mistakenidentity identityswapping nylonstockings childplaysmatchmaker children comedy 1995 
39,Clueless (1995),miniskirt girlwearsaminiskirt shortskirt virgin comedy romance 1995 
40,"Cry, the Beloved Country (1995)",1940s racialtension apartheid southafrica drama 1995 
41,Richard III (1995),fascist dog tank battle drama war 1995 
42,Dead Presidents (1995),vietnamwar 1960s blackpanthers newyorkcity action crime drama 1995 
43,Restoration (1995),17thcentury plague basedonnovel kingcharlesii drama 1995 
44,Mortal Kombat (1995),basedonvideogame campy evilman villain action adventure fantasy 1995 
45,To Die For (1995),scantilycladfemale newhampshire television coitus comedy drama thriller 1995 
46,How to Make an American Quilt (1995),youngerversionofcharacter triplefrated titledirectedbyfemale love drama romance 1995 
47,Seven (a.k.a. Se7en) (1995),serialkiller detective serialmurder sevendeadlysins mystery thriller 1995 
48,Pocahontas (1995),unsubtitledforeignlanguage disobedience pocahontascharacter captainjohnsmithcharacter animation children drama musical romance 1995 
49,When Night Is Falling (1995),christian teacher scissoring tribadism drama romance 1995 
